						
	Median	Median	Median	Median		Average Error
						
	Average Error	Average Error	Average Error	Average Error		
#1022 Valores	0,6923509384	0,6924312906	0,6923511429	0,6923509384		
						
	RMODE11 Error	RMODE10 Error	RMODE01 Error	RMODE00 Error		
	0,033516	0,033571	0,033516	0,033516		
	0,033936	0,033997	0,033936	0,033936		
	0,034369	0,034424	0,034369	0,034369		
	0,034796	0,034863	0,034796	0,034796		
	0,035242	0,035285	0,035242	0,035242		
	0,034295	0,034344	0,034295	0,034295		
	0,034716	0,034778	0,034716	0,034716		
	0,035151	0,035212	0,035151	0,035151		
	0,035592	0,035647	0,035592	0,035592		
	0,036021	0,036076	0,036021	0,036021		
	0,036456	0,036518	0,036456	0,036456		
	0,036911	0,036953	0,036911	0,036911		
	0,035950	0,036023	0,035950	0,035950		
	0,036392	0,036453	0,036392	0,036392		
	0,036816	0,036896	0,036816	0,036816		
	0,037266	0,037339	0,037266	0,037266		
	0,037716	0,037789	0,037716	0,037716		
	0,038172	0,038227	0,038172	0,038172		
	0,038610	0,038684	0,038610	0,038610		
	0,037550	0,037623	0,037550	0,037550		
	0,038013	0,038074	0,038013	0,038013		
	0,038458	0,038513	0,038458	0,038458		
	0,038922	0,038971	0,038922	0,038922		
	0,039368	0,039436	0,039368	0,039368		
	0,039833	0,039901	0,039833	0,039833		
	0,040305	0,040360	0,040305	0,040305		
	0,040765	0,040833	0,040765	0,040765		
	0,039635	0,039696	0,039635	0,039635		
	0,040089	0,040156	0,040089	0,040089		
	0,040561	0,040629	0,040561	0,040561		
	0,041035	0,041097	0,041035	0,041035		
	0,041496	0,041564	0,041496	0,041496		
	0,040785	0,040859	0,040785	0,040785		
	0,041259	0,041339	0,041259	0,041259		
	0,041740	0,041802	0,041740	0,041740		
	0,042197	0,042271	0,042197	0,042197		
	0,042685	0,042747	0,042685	0,042685		
	0,043161	0,043236	0,043161	0,043161		
	0,043651	0,043712	0,043651	0,043651		
	0,044134	0,044196	0,044134	0,044134		
	0,042901	0,042951	0,042901	0,042901		
	0,043373	0,043447	0,043373	0,043373		
	0,043857	0,043925	0,043857	0,043857		
	0,044348	0,044423	0,044348	0,044348		
	0,044840	0,044902	0,044840	0,044840		
	0,045326	0,045401	0,045326	0,045326		
	0,045831	0,045893	0,045831	0,045831		
	0,044534	0,044596	0,044534	0,044534		
	0,045027	0,045083	0,045027	0,045027		
	0,045508	0,045583	0,045508	0,045508		
	0,046015	0,046083	0,046015	0,046015		
	0,046509	0,046590	0,046509	0,046509		
	0,047023	0,047092	0,047023	0,047023		
	0,047582	0,047657	0,047582	0,047582		
	0,046226	0,046288	0,046226	0,046226		
	0,046734	0,046797	0,046734	0,046734		
	0,047231	0,047306	0,047231	0,047231		
	0,047741	0,047816	0,047741	0,047741		
	0,048258	0,048320	0,048258	0,048258		
	0,048781	0,048844	0,048781	0,048781		
	0,049287	0,049362	0,049287	0,049287		
	0,049805	0,049880	0,049805	0,049805		
	0,048396	0,048446	0,048396	0,048396		
	0,048890	0,048965	0,048890	0,048890		
	0,049428	0,049497	0,049428	0,049428		
	0,049948	0,050017	0,049948	0,049948		
	0,050475	0,050532	0,050475	0,050475		
	0,050997	0,051072	0,050997	0,050997		
	0,051531	0,051594	0,051531	0,051531		
	0,052067	0,052129	0,052067	0,052067		
	0,051301	0,051370	0,051301	0,051301		
	0,051837	0,051913	0,051837	0,051837		
	0,052374	0,052437	0,052374	0,052374		
	0,052905	0,052980	0,052905	0,052905		
	0,051377	0,051433	0,051377	0,051377		
	0,051908	0,051983	0,051908	0,051908		
	0,052446	0,052522	0,052446	0,052446		
	0,052998	0,053073	0,052998	0,052998		
	0,053550	0,053601	0,053550	0,053550		
	0,054097	0,054160	0,054097	0,054097		
	0,054651	0,054726	0,054651	0,054651		
	0,055199	0,055275	0,055199	0,055199		
	0,053596	0,053660	0,053596	0,053596		
	0,054145	0,054202	0,054145	0,054145		
	0,054707	0,054770	0,054707	0,054707		
	0,055263	0,055320	0,055263	0,055263		
	0,055820	0,055877	0,055820	0,055820		
	0,056378	0,056441	0,056378	0,056378		
	0,057019	0,057089	0,057019	0,057019		
	0,055342	0,055419	0,055342	0,055342		
	0,055914	0,055997	0,055914	0,055914		
	0,056480	0,056556	0,056480	0,056480		
	0,057034	0,057117	0,057034	0,057034		
	0,057621	0,057684	0,057621	0,057621		
	0,058183	0,058259	0,058183	0,058183		
	0,058758	0,058834	0,058758	0,058758		
	0,059341	0,059411	0,059341	0,059341		
	0,057614	0,057678	0,057614	0,057614		
	0,058178	0,058248	0,058178	0,058178		
	0,058762	0,058832	0,058762	0,058762		
	0,059346	0,059423	0,059346	0,059346		
	0,059932	0,060009	0,059932	0,059932		
	0,060518	0,060601	0,060518	0,060518		
	0,061118	0,061176	0,061118	0,061118		
	0,059310	0,059367	0,059310	0,059310		
	0,059897	0,059961	0,059897	0,059897		
	0,060492	0,060556	0,060492	0,060492		
	0,061087	0,061158	0,061087	0,061087		
	0,062384	0,062441	0,062384	0,062384		
	0,060533	0,060610	0,060533	0,060533		
	0,061130	0,061194	0,061130	0,061130		
	0,061721	0,061805	0,061721	0,061721		
	0,062339	0,062391	0,062339	0,062339		
	0,062933	0,063016	0,062933	0,062933		
	0,063546	0,063630	0,063546	0,063546		
	0,064161	0,064238	0,064161	0,064161		
	0,064763	0,064834	0,064763	0,064763		
	0,062847	0,062931	0,062847	0,062847		
	0,063470	0,063541	0,063470	0,063470		
	0,064086	0,064157	0,064086	0,064086		
	0,064710	0,064781	0,064710	0,064710		
	0,065322	0,065400	0,065322	0,065322		
	0,065948	0,066032	0,065948	0,065948		
	0,066575	0,066640	0,066575	0,066575		
	0,064588	0,064659	0,064588	0,064588		
	0,065209	0,065286	0,065209	0,065209		
	0,065843	0,065915	0,065843	0,065843		
	0,066466	0,066537	0,066466	0,066466		
	0,067109	0,067168	0,067109	0,067109		
	0,067825	0,067903	0,067825	0,067825		
	0,068470	0,068529	0,068470	0,068470		
	0,069110	0,069188	0,069110	0,069110		
	0,067050	0,067128	0,067050	0,067050		
	0,067690	0,067768	0,067690	0,067690		
	0,068331	0,068403	0,068331	0,068331		
	0,068973	0,069045	0,068973	0,068973		
	0,069616	0,069701	0,069616	0,069616		
	0,070280	0,070339	0,070280	0,070280		
	0,070932	0,071010	0,070932	0,070932		
	0,068818	0,068890	0,068818	0,068818		
	0,069476	0,069549	0,069476	0,069476		
	0,070123	0,070202	0,070123	0,070123		
	0,070771	0,070856	0,070771	0,070771		
	0,071446	0,071518	0,071446	0,071446		
	0,072109	0,072175	0,072109	0,072109		
	0,072779	0,072858	0,072779	0,072779		
	0,073451	0,073524	0,073451	0,073451		
	0,071243	0,071322	0,071243	0,071243		
	0,071915	0,071994	0,071915	0,071915		
	0,073387	0,073466	0,073387	0,073387		
	0,074069	0,074135	0,074069	0,074069		
	0,074758	0,074824	0,074758	0,074758		
	0,072504	0,072576	0,072504	0,072504		
	0,073173	0,073253	0,073173	0,073173		
	0,073851	0,073930	0,073851	0,073851		
	0,074543	0,074609	0,074543	0,074543		
	0,075223	0,075289	0,075223	0,075223		
	0,075917	0,075997	0,075917	0,075917		
	0,076606	0,076679	0,076606	0,076606		
	0,077309	0,077389	0,077309	0,077309		
	0,074985	0,075058	0,074985	0,074985		
	0,075695	0,075748	0,075695	0,075695		
	0,076380	0,076453	0,076380	0,076380		
	0,077086	0,077153	0,077086	0,077086		
	0,077800	0,077860	0,077800	0,077800		
	0,078489	0,078576	0,078489	0,078489		
	0,079206	0,079286	0,079206	0,079206		
	0,076811	0,076885	0,076811	0,076811		
	0,077521	0,077602	0,077521	0,077521		
	0,078340	0,078407	0,078340	0,078340		
	0,079039	0,079113	0,079039	0,079039		
	0,079767	0,079827	0,079767	0,079767		
	0,080489	0,080556	0,080489	0,080489		
	0,081220	0,081280	0,081220	0,081220		
	0,078754	0,078814	0,078754	0,078754		
	0,079471	0,079545	0,079471	0,079471		
	0,080209	0,080270	0,080209	0,080209		
	0,080922	0,080990	0,080922	0,080922		
	0,081657	0,081724	0,081657	0,081657		
	0,082400	0,082467	0,082400	0,082400		
	0,083151	0,083211	0,083151	0,083151		
	0,083903	0,083943	0,083903	0,083903		
	0,081337	0,081411	0,081337	0,081337		
	0,082076	0,082150	0,082076	0,082076		
	0,082816	0,082884	0,082816	0,082816		
	0,083571	0,083639	0,083571	0,083571		
	0,084328	0,084389	0,084328	0,084328		
	0,085066	0,085134	0,085066	0,085066		
	0,085819	0,085894	0,085819	0,085819		
	0,086600	0,086655	0,086600	0,086600		
	0,084928	0,084996	0,084928	0,084928		
	0,085677	0,085745	0,085677	0,085677		
	0,086440	0,086522	0,086440	0,086440		
	0,087205	0,087288	0,087205	0,087205		
	0,087986	0,088061	0,087986	0,087986		
	0,085308	0,085384	0,085308	0,085308		
	0,086068	0,086144	0,086068	0,086068		
	0,086843	0,086912	0,086843	0,086843		
	0,087613	0,087696	0,087613	0,087613		
	0,088385	0,088467	0,088385	0,088385		
	0,089185	0,089261	0,089185	0,089185		
	0,089974	0,090049	0,089974	0,089974		
	0,087221	0,087304	0,087221	0,087221		
	0,088002	0,088078	0,088002	0,088002		
	0,088792	0,088882	0,088792	0,088792		
	0,089584	0,089660	0,089584	0,089584		
	0,090378	0,090447	0,090378	0,090378		
	0,091159	0,091249	0,091159	0,091159		
	0,091976	0,092052	0,091976	0,091976		
	0,092774	0,092844	0,092774	0,092774		
	0,090061	0,090152	0,090061	0,090061		
	0,090867	0,090950	0,090867	0,090867		
	0,091674	0,091743	0,091674	0,091674		
	0,092476	0,092552	0,092476	0,092476		
	0,093293	0,093370	0,093293	0,093293		
	0,094105	0,094182	0,094105	0,094105		
	0,094919	0,095010	0,094919	0,094919		
	0,092032	0,092108	0,092032	0,092032		
	0,092846	0,092923	0,092846	0,092846		
	0,093654	0,093731	0,093654	0,093654		
